match_number,date,gender,match_type,teams,team1,team2,team_batting,team_bowling,venue,toss_winner,toss_decision,umpires,batter,bowler,non_striker,over,runs_batter,runs_extras,runs_total,legbyes,byes,no of balls,noballs,wides,player_out,kind,fielders,winner,player_of_match,iswicket_delivery,won_by
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,CH Gayle,V Sehwag,0,0,0,0,0,0,1,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,CH Gayle,V Sehwag,0,0,0,0,0,0,2,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,CH Gayle,V Sehwag,0,1,0,1,0,0,3,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",V Sehwag,CH Gayle,DA Warner,0,4,0,4,0,0,4,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",V Sehwag,CH Gayle,DA Warner,0,4,0,4,0,0,5,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",V Sehwag,CH Gayle,DA Warner,0,0,0,0,0,0,6,0,0,V Sehwag,stumped,WP Saha,Delhi Daredevils,DA Warner,1,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,CK Langeveldt,G Gambhir,1,0,1,1,0,0,1,0,1,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,CK Langeveldt,G Gambhir,1,4,0,4,0,0,2,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,CK Langeveldt,G Gambhir,1,1,0,1,0,0,3,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",G Gambhir,CK Langeveldt,DA Warner,1,1,0,1,0,0,4,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,CK Langeveldt,G Gambhir,1,4,0,4,0,0,5,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,CK Langeveldt,G Gambhir,1,1,0,1,0,0,6,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",G Gambhir,CK Langeveldt,DA Warner,1,0,0,0,0,0,7,0,0,G Gambhir,lbw,,Delhi Daredevils,DA Warner,1,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,I Sharma,KD Karthik,2,0,0,0,0,0,1,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,I Sharma,KD Karthik,2,4,0,4,0,0,2,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,I Sharma,KD Karthik,2,0,1,1,0,0,3,0,1,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,I Sharma,KD Karthik,2,4,0,4,0,0,4,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,I Sharma,KD Karthik,2,6,0,6,0,0,5,0,0,,,,Delhi Daredevils,DA Warner,0,Runs
26,2010-03-29,male,T20,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,"SS Hazare, SJA Taufel",DA Warner,I Sharma,KD Karthik,2,0,1,1,0,0,6,0,1,,,,Delhi Daredevils,DA Warner,0,Runs
