match_number,date,gender,match_type,teams,team1,team2,team_batting,team_bowling,venue,toss_winner,toss_decision,umpires,batter,bowler,non_striker,over,runs_batter,runs_extras,runs_total,legbyes,byes,no of balls,noballs,wides,player_out,kind,fielders,winner,player_of_match,iswicket_delivery,won_by
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",AC Gilchrist,A Kumble,MD Mishra,0,4,0,4,0,0,1,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",AC Gilchrist,A Kumble,MD Mishra,0,0,0,0,0,0,2,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",AC Gilchrist,A Kumble,MD Mishra,0,0,0,0,0,0,3,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",AC Gilchrist,A Kumble,MD Mishra,0,0,0,0,0,0,4,0,0,AC Gilchrist,caught,JH Kallis,Royal Challengers Bangalore,A Kumble,1,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,A Kumble,MD Mishra,0,0,0,0,0,0,5,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,A Kumble,MD Mishra,0,0,0,0,0,0,6,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",MD Mishra,P Kumar,Anirudh Singh,1,0,0,0,0,0,1,0,0,MD Mishra,lbw,,Royal Challengers Bangalore,A Kumble,1,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",RG Sharma,P Kumar,Anirudh Singh,1,0,0,0,0,0,2,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",RG Sharma,P Kumar,Anirudh Singh,1,0,0,0,0,0,3,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",RG Sharma,P Kumar,Anirudh Singh,1,0,1,1,1,0,4,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,P Kumar,RG Sharma,1,2,0,2,0,0,5,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,P Kumar,RG Sharma,1,1,0,1,0,0,6,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,DW Steyn,RG Sharma,2,0,0,0,0,0,1,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,DW Steyn,RG Sharma,2,0,0,0,0,0,2,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,DW Steyn,RG Sharma,2,0,0,0,0,0,3,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,DW Steyn,RG Sharma,2,0,0,0,0,0,4,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,DW Steyn,RG Sharma,2,0,1,1,0,0,5,0,1,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,DW Steyn,RG Sharma,2,4,0,4,0,0,6,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,DW Steyn,RG Sharma,2,1,0,1,0,0,7,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",Anirudh Singh,P Kumar,RG Sharma,3,1,0,1,0,0,1,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",RG Sharma,P Kumar,Anirudh Singh,3,0,0,0,0,0,2,0,0,RG Sharma,caught,KP Pietersen,Royal Challengers Bangalore,A Kumble,1,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",A Symonds,P Kumar,Anirudh Singh,3,0,0,0,0,0,3,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",A Symonds,P Kumar,Anirudh Singh,3,0,0,0,0,0,4,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
,2010-04-24,male,T20,"Royal Challengers Bangalore, Deccan Chargers",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,"RE Koertzen, SJA Taufel",A Symonds,P Kumar,Anirudh Singh,3,0,0,0,0,0,5,0,0,,,,Royal Challengers Bangalore,A Kumble,0,Wickets
