match_number,date,gender,match_type,teams,team1,team2,team_batting,team_bowling,venue,toss_winner,toss_decision,umpires,batter,bowler,non_striker,over,runs_batter,runs_extras,runs_total,legbyes,byes,no of balls,noballs,wides,player_out,kind,fielders,winner,player_of_match,iswicket_delivery,won_by
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",AC Gilchrist,SL Malinga,HH Gibbs,0,0,0,0,0,0,1,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",AC Gilchrist,SL Malinga,HH Gibbs,0,0,0,0,0,0,2,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",AC Gilchrist,SL Malinga,HH Gibbs,0,0,0,0,0,0,3,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",AC Gilchrist,SL Malinga,HH Gibbs,0,0,0,0,0,0,4,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",AC Gilchrist,SL Malinga,HH Gibbs,0,6,0,6,0,0,5,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",AC Gilchrist,SL Malinga,HH Gibbs,0,0,0,0,0,0,6,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",HH Gibbs,Z Khan,AC Gilchrist,1,0,0,0,0,0,1,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",HH Gibbs,Z Khan,AC Gilchrist,1,4,0,4,0,0,2,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",HH Gibbs,Z Khan,AC Gilchrist,1,0,0,0,0,0,3,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
12,2009-04-25,male,T20,"Deccan Chargers, Mumbai Indians",Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,"HDPK Dharmasena, SJA Taufel",HH Gibbs,Z Khan,AC Gilchrist,1,1,0,1,0,0,4,0,0,,,,Deccan Chargers,PP Ojha,0,Runs
