match_number,date,gender,match_type,teams,team1,team2,team_batting,team_bowling,venue,toss_winner,toss_decision,umpires,batter,bowler,non_striker,over,runs_batter,runs_extras,runs_total,legbyes,byes,no of balls,noballs,wides,player_out,kind,fielders,winner,player_of_match,iswicket_delivery,won_by
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",Ishan Kishan,JD Unadkat,BB McCullum,0,0,1,1,1,0,1,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",BB McCullum,JD Unadkat,Ishan Kishan,0,4,0,4,0,0,2,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",BB McCullum,JD Unadkat,Ishan Kishan,0,0,0,0,0,0,3,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",BB McCullum,JD Unadkat,Ishan Kishan,0,1,0,1,0,0,4,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",Ishan Kishan,JD Unadkat,BB McCullum,0,1,0,1,0,0,5,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",BB McCullum,JD Unadkat,Ishan Kishan,0,4,0,4,0,0,6,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",Ishan Kishan,Washington Sundar,BB McCullum,1,0,0,0,0,0,1,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",Ishan Kishan,Washington Sundar,BB McCullum,1,0,0,0,0,0,2,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",Ishan Kishan,Washington Sundar,BB McCullum,1,0,0,0,0,0,3,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
39,2017-05-01,male,T20,"Rising Pune Supergiant, Gujarat Lions",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,"M Erasmus, C Shamshuddin",Ishan Kishan,Washington Sundar,BB McCullum,1,0,0,0,0,0,4,0,0,,,,Rising Pune Supergiant,BA Stokes,0,Wickets
