match_number,date,gender,match_type,teams,team1,team2,team_batting,team_bowling,venue,toss_winner,toss_decision,umpires,batter,bowler,non_striker,over,runs_batter,runs_extras,runs_total,legbyes,byes,no of balls,noballs,wides,player_out,kind,fielders,winner,player_of_match,iswicket_delivery,won_by
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,MG Johnson,M Vijay,0,4,0,4,0,0,1,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,MG Johnson,M Vijay,0,0,0,0,0,0,2,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,MG Johnson,M Vijay,0,0,0,0,0,0,3,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,MG Johnson,M Vijay,0,0,0,0,0,0,4,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,MG Johnson,M Vijay,0,1,0,1,0,0,5,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,MG Johnson,MEK Hussey,0,1,0,1,0,0,6,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,MM Patel,MEK Hussey,1,0,0,0,0,0,1,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,MM Patel,MEK Hussey,1,4,0,4,0,0,2,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,MM Patel,MEK Hussey,1,4,0,4,0,0,3,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,MM Patel,MEK Hussey,1,0,0,0,0,0,4,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,MM Patel,MEK Hussey,1,2,0,2,0,0,5,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,MM Patel,MEK Hussey,1,2,0,2,0,0,6,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,MG Johnson,M Vijay,2,4,0,4,0,0,1,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,MG Johnson,M Vijay,2,1,0,1,0,0,2,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,MG Johnson,MEK Hussey,2,0,0,0,0,0,3,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,MG Johnson,MEK Hussey,2,3,0,3,0,0,4,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,MG Johnson,M Vijay,2,0,0,0,0,0,5,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,MG Johnson,M Vijay,2,1,0,1,0,0,6,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",MEK Hussey,Harbhajan Singh,M Vijay,3,1,0,1,0,0,1,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,Harbhajan Singh,MEK Hussey,3,0,0,0,0,0,2,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
,2013-05-21,male,T20,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,bat,"NJ Llong, RJ Tucker",M Vijay,Harbhajan Singh,MEK Hussey,3,1,0,1,0,0,3,0,0,,,,Chennai Super Kings,MEK Hussey,0,Runs
