match_number,date,gender,match_type,teams,team1,team2,team_batting,team_bowling,venue,toss_winner,toss_decision,umpires,batter,bowler,non_striker,over,runs_batter,runs_extras,runs_total,legbyes,byes,no of balls,noballs,wides,player_out,kind,fielders,winner,player_of_match,iswicket_delivery,won_by
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",PA Patel,B Kumar,Q de Kock,0,0,0,0,0,0,1,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",PA Patel,B Kumar,Q de Kock,0,1,0,1,0,0,2,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",Q de Kock,B Kumar,PA Patel,0,0,0,0,0,0,3,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",Q de Kock,B Kumar,PA Patel,0,0,0,0,0,0,4,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",Q de Kock,B Kumar,PA Patel,0,1,0,1,0,0,5,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",PA Patel,B Kumar,Q de Kock,0,0,0,0,0,0,6,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",Q de Kock,AB Dinda,PA Patel,1,0,0,0,0,0,1,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",Q de Kock,AB Dinda,PA Patel,1,0,0,0,0,0,2,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",Q de Kock,AB Dinda,PA Patel,1,1,0,1,0,0,3,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",PA Patel,AB Dinda,Q de Kock,1,1,0,1,0,0,4,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",Q de Kock,AB Dinda,PA Patel,1,0,0,0,0,0,5,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",Q de Kock,AB Dinda,PA Patel,1,0,1,1,0,0,6,0,1,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",Q de Kock,AB Dinda,PA Patel,1,0,0,0,0,0,7,0,0,Q de Kock,caught,MR Marsh,Sunrisers Hyderabad,A Mishra,1,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",PA Patel,B Kumar,GH Vihari,2,4,0,4,0,0,1,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",PA Patel,B Kumar,GH Vihari,2,0,0,0,0,0,2,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",PA Patel,B Kumar,GH Vihari,2,4,0,4,0,0,3,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",PA Patel,B Kumar,GH Vihari,2,2,0,2,0,0,4,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",PA Patel,B Kumar,GH Vihari,2,0,0,0,0,0,5,0,0,PA Patel,bowled,,Sunrisers Hyderabad,A Mishra,1,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",CL White,B Kumar,GH Vihari,2,0,0,0,0,0,6,0,0,CL White,bowled,,Sunrisers Hyderabad,A Mishra,1,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",GH Vihari,AB Dinda,BB Samantray,3,0,0,0,0,0,1,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",GH Vihari,AB Dinda,BB Samantray,3,1,0,1,0,0,2,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",BB Samantray,AB Dinda,GH Vihari,3,0,0,0,0,0,3,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",BB Samantray,AB Dinda,GH Vihari,3,0,0,0,0,0,4,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",BB Samantray,AB Dinda,GH Vihari,3,0,0,0,0,0,5,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",BB Samantray,AB Dinda,GH Vihari,3,0,0,0,0,0,6,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",GH Vihari,B Kumar,BB Samantray,4,0,0,0,0,0,1,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",GH Vihari,B Kumar,BB Samantray,4,0,1,1,0,0,2,0,1,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",GH Vihari,B Kumar,BB Samantray,4,0,0,0,0,0,3,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
22,2013-04-17,male,T20,"Pune Warriors, Sunrisers Hyderabad",Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,Pune Warriors,field,"Asad Rauf, AK Chaudhary",GH Vihari,B Kumar,BB Samantray,4,0,0,0,0,0,4,0,0,,,,Sunrisers Hyderabad,A Mishra,0,Runs
